Spot,Maturity,Strike,Interest rate,Mid,Bid,Ask,Spread
328.29,0.1753424,275,0.000553778,56.9,55.5,58.3,2.8
328.29,0.1753424,300,0.000553778,36.3,35,37.6,2.6
328.29,0.1753424,325,0.000553778,19.6,19.3,19.9,0.6
328.29,0.1753424,350,0.000553778,9.45,9.2,9.7,0.5
328.29,0.1753424,375,0.000553778,4.3,4.1,4.5,0.4
328.29,0.4246575,275,0.000659467,63.2,61.7,64.7,3
328.29,0.4246575,300,0.000659467,44.9,44.4,45.4,1
328.29,0.4246575,325,0.000659467,30.55,30.2,30.9,0.7
328.29,0.4246575,350,0.000659467,20.05,19.7,20.4,0.7
328.29,0.4246575,375,0.000659467,12.5,12.2,12.8,0.6
328.29,0.9232876,275,0.000850338,77.55,76.1,79,2.9
328.29,0.9232876,300,0.000850338,61.45,60.8,62.1,1.3
328.29,0.9232876,325,0.000850338,48.9,48.1,49.7,1.6
328.29,0.9232876,350,0.000850338,38.45,37.9,39,1.1
328.29,0.9232876,375,0.000850338,29.5,29,30,1
