Maturity date,Maturity,Spot,Strike,Bid,Ask,Mid,Volume,impl vola,Interest rate
19.06.2020,0.0082192,991.79,940,50,57.4,53.7,1314,0.65,0.00177
19.06.2020,0.0082192,991.79,945,50.8,51.8,51.3,1291,0.561,0.00177
19.06.2020,0.0082192,991.79,950,41.2,48,44.6,1352,0.591,0.00177
19.06.2020,0.0082192,991.79,970,26.15,28.75,27.45,1991,0.436,0.00177
19.06.2020,0.0082192,991.79,980,20.1,21.55,20825,2478,0.418,0.00177
19.06.2020,0.0082192,991.79,985,17,18.3,17.65,3117,0.41,0.00177
19.06.2020,0.0082192,991.79,990,14,15.3,14.65,9058,0.401,0.00177
19.06.2020,0.0082192,991.79,995,11.65,12.7,12175,9372,0.397,0.00177
19.06.2020,0.0082192,991.79,1000,10,10.5,10.25,29443,0.395,0.00177
19.06.2020,0.0082192,991.79,1005,7.65,8.75,8.2,4759,0.399,0.00177
19.06.2020,0.0082192,991.79,1010,6.65,7.25,6.95,9161,0.403,0.00177
19.06.2020,0.0082192,991.79,1015,5.1,6.85,5975,2359,0.436,0.00177
19.06.2020,0.0082192,991.79,1020,4.75,5.1,4925,9683,0.419,0.00177
19.06.2020,0.0082192,991.79,1025,4,4.8,4.4,3612,0.447,0.00177
19.06.2020,0.0082192,991.79,1035,2.9,3.45,3175,1945,0.464,0.00177
19.06.2020,0.0082192,991.79,1040,2.63,2.99,2.81,3416,0.475,0.00177
19.06.2020,0.0082192,991.79,1050,2.25,2.43,2.34,21398,0.502,0.00177
19.06.2020,0.0082192,991.79,1055,1.06,2.24,1.65,1836,0.526,0.00177
19.06.2020,0.0082192,991.79,1070,1.45,1.87,1.66,1309,0.569,0.00177
19.06.2020,0.0082192,991.79,1100,1.1,1.2,1.15,9633,0.67,0.00177
19.06.2020,0.0082192,991.79,1150,0.7,0.84,0.77,1005,0.835,0.00177
19.06.2020,0.0082192,991.79,1200,0.35,0.48,0.415,3255,0.942,0.00177
26.06.2020,0.0246575,991.79,985,39.1,41.35,40225,1288,0.563,0.00177
26.06.2020,0.0246575,991.79,990,37,38.85,37925,3385,0.566,0.00177
26.06.2020,0.0246575,991.79,995,34,36.5,35.25,3251,0.562,0.00177
26.06.2020,0.0246575,991.79,1000,33,34.15,33575,3621,0.571,0.00177
26.06.2020,0.0246575,991.79,1020,25.1,26.15,25625,925,0.574,0.00177
26.06.2020,0.0246575,991.79,1050,16,17.65,16825,1321,0.583,0.00177
26.06.2020,0.0246575,991.79,1070,12.6,13.65,13125,650,0.601,0.00177
26.06.2020,0.0246575,991.79,1100,8.4,9.2,8.8,2117,0.621,0.00177
26.06.2020,0.0246575,991.79,1200,3.05,3.3,3175,1483,0.727,0.00177
17.07.2020,0.0833333,991.79,950,97.5,99.15,98325,1611,0.671,0.00177
17.07.2020,0.0833333,991.79,990,76.95,78.5,77725,715,0.668,0.00177
17.07.2020,0.0833333,991.79,1000,73.65,74.35,74,1322,0.675,0.00177
17.07.2020,0.0833333,991.79,1050,53.15,54.55,53.85,563,0.672,0.00177
17.07.2020,0.0833333,991.79,1100,38.9,40,39.45,414,0.6803,0.00177
17.07.2020,0.0833333,991.79,1180,23.8,24.4,24.1,166,0.6998,0.00177
17.07.2020,0.0833333,991.79,1200,21.3,21.65,21475,1336,0.707,0.00177
17.07.2020,0.0833333,991.79,1220,18.9,19.35,19125,243,0.7133,0.00177
18.09.2020,0.25,991.79,980,141.35,143.8,142575,64,0.6878,0.00177
18.09.2020,0.25,991.79,1000,132,134.9,133.45,70,0.6854,0.00177
18.09.2020,0.25,991.79,1100,95.75,97.9,96825,102,0.6866,0.00177
18.09.2020,0.25,991.79,1200,69.3,71.3,70.3,52,0.692,0.00177
18.09.2020,0.25,991.79,1250,59.15,61.15,60.15,1035,0.696,0.00177
